Latitude,Longitude,Date time,Plow status,Spreader status,Engine status,Truck
42.2786,-83.01759,2019-02-18 00:01:16,True,True,True,5633
42.29614,-83.02521,2019-02-18 00:01:25,True,False,True,7299
42.30591,-82.92283,2019-02-18 00:01:25,True,False,True,9097
42.30971,-82.93205,2019-02-18 00:01:29,True,False,True,4527
42.27073,-82.912,2019-02-18 00:01:32,False,True,True,8892
42.28366,-82.98141,2019-02-18 00:01:33,True,False,True,7133
42.29475,-82.97315,2019-02-18 00:01:31,True,False,True,9954
42.29609,-83.06783,2019-02-18 00:01:36,False,True,True,1080
42.29464,-82.97331,2019-02-18 00:01:35,True,False,True,9954
42.29462,-82.97333,2019-02-18 00:01:36,True,False,True,9954
42.27741,-83.01859,2019-02-18 00:01:39,True,True,True,5633
42.30463,-83.03884,2019-02-18 00:01:39,True,False,True,4370
42.28505,-82.99537,2019-02-18 00:01:38,True,False,True,5334
42.29642,-83.02534,2019-02-18 00:01:40,True,False,True,7299
42.31177,-82.97404,2019-02-18 00:01:38,True,True,True,3188
42.30629,-82.92156,2019-02-18 00:01:40,True,False,True,9097
42.29461,-82.97335,2019-02-18 00:01:46,True,False,True,9954
42.26909,-82.91211,2019-02-18 00:01:47,False,True,True,8892
42.28997,-82.93875,2019-02-18 00:01:46,True,False,True,2818
42.28334,-82.98322,2019-02-18 00:01:48,True,False,True,7133
42.2979,-83.03995,2019-02-18 00:01:50,True,False,True,5727
42.31227,-82.9726,2019-02-18 00:01:53,True,True,True,3188
42.30369,-83.03825,2019-02-18 00:01:54,True,False,True,4370
42.28553,-82.9943,2019-02-18 00:01:53,True,False,True,5334
42.27646,-83.019,2019-02-18 00:01:54,True,True,True,5633
42.2968,-83.0683,2019-02-18 00:01:51,False,True,True,1080
42.32728,-82.9284,2019-02-18 00:01:53,True,False,True,8427
42.30666,-82.92036,2019-02-18 00:01:55,True,False,True,9097
42.29461,-82.97336,2019-02-18 00:02:01,True,False,True,9954
42.26738,-82.91224,2019-02-18 00:02:02,False,True,True,8892
42.28281,-82.98597,2019-02-18 00:02:03,True,False,True,7133
42.29831,-83.03967,2019-02-18 00:02:05,True,False,True,5727
42.29578,-83.02516,2019-02-18 00:02:05,True,False,True,7299
42.28603,-82.99324,2019-02-18 00:02:08,True,False,True,5334
42.32731,-82.92982,2019-02-18 00:02:08,True,False,True,8427
42.31262,-82.97155,2019-02-18 00:02:06,True,True,True,3188
42.27599,-83.02024,2019-02-18 00:02:09,True,True,True,5633
42.31262,-82.97155,2019-02-18 00:02:07,True,False,True,3188
42.31263,-82.97153,2019-02-18 00:02:08,True,False,True,3188
42.30279,-83.03771,2019-02-18 00:02:09,True,False,True,4370
42.30626,-82.91919,2019-02-18 00:02:10,True,False,True,9097
42.31263,-82.97146,2019-02-18 00:02:11,True,False,True,3188
42.31262,-82.97143,2019-02-18 00:02:12,True,True,True,3188
42.3126,-82.9714,2019-02-18 00:02:13,True,True,True,3188
42.31257,-82.97137,2019-02-18 00:02:14,True,False,True,3188
42.26564,-82.91237,2019-02-18 00:02:17,False,True,True,8892
42.30966,-82.93232,2019-02-18 00:01:44,True,False,True,4527
42.30931,-82.93386,2019-02-18 00:01:59,True,False,True,4527
42.30881,-82.93527,2019-02-18 00:02:14,True,False,True,4527
42.29422,-82.97407,2019-02-18 00:02:16,True,False,True,9954
42.28222,-82.98914,2019-02-18 00:02:18,True,False,True,7133
42.27579,-83.02119,2019-02-18 00:02:19,True,True,True,5633
42.29044,-82.94085,2019-02-18 00:02:17,True,False,True,2818
42.27577,-83.02129,2019-02-18 00:02:19,True,True,True,5633
