Latitude,Longitude,Date time,Plow status,Spreader status,Engine status,Truck
42.29213,-82.92801,2019-03-19 06:30:06,True,False,True,1630
42.29021,-82.92489,2019-03-19 06:30:33,True,False,True,1630
42.29086,-82.92363,2019-03-19 06:30:51,True,False,True,1630
42.29199,-82.92371,2019-03-19 06:31:02,True,False,True,1630
42.29402,-82.92271,2019-03-19 06:31:17,True,False,True,1630
42.29514,-82.9189,2019-03-19 06:31:34,True,False,True,1630
42.29606,-82.91438,2019-03-19 06:31:49,True,False,True,1630
42.29688,-82.90964,2019-03-19 06:32:04,True,False,True,1630
42.29777,-82.905,2019-03-19 06:32:19,True,False,True,1630
42.29985,-82.90122,2019-03-19 06:32:34,True,False,True,1630
42.30207,-82.89785,2019-03-19 06:32:49,True,False,True,1630
42.30435,-82.89441,2019-03-19 06:33:04,True,False,True,1630
42.30591,-82.89037,2019-03-19 06:33:19,True,False,True,1630
42.30648,-82.88637,2019-03-19 06:33:34,True,False,True,1630
42.30692,-82.88209,2019-03-19 06:33:49,True,False,True,1630
42.30636,-82.87751,2019-03-19 06:34:04,True,False,True,1630
42.30575,-82.87326,2019-03-19 06:34:19,True,False,True,1630
42.30522,-82.8694,2019-03-19 06:34:34,True,False,True,1630
42.30482,-82.86545,2019-03-19 06:34:49,True,False,True,1630
42.30467,-82.8615,2019-03-19 06:35:04,True,False,True,1630
42.30457,-82.85767,2019-03-19 06:35:19,True,False,True,1630
42.30445,-82.85375,2019-03-19 06:35:34,True,False,True,1630
42.30434,-82.84988,2019-03-19 06:35:49,True,False,True,1630
42.30424,-82.84614,2019-03-19 06:36:04,True,False,True,1630
42.3041,-82.84263,2019-03-19 06:36:19,True,False,True,1630
42.30342,-82.84209,2019-03-19 06:36:33,True,False,True,1630
42.30274,-82.84226,2019-03-19 06:36:38,True,False,True,1630
42.30229,-82.84229,2019-03-19 06:36:41,True,False,True,1630
42.30026,-82.84122,2019-03-19 06:36:56,True,False,True,1630
42.29798,-82.8406,2019-03-19 06:37:11,True,False,True,1630
42.29552,-82.84074,2019-03-19 06:37:26,True,False,True,1630
42.29342,-82.84085,2019-03-19 06:37:41,True,False,True,1630
42.29322,-82.84049,2019-03-19 06:37:48,True,False,True,1630
42.29321,-82.84012,2019-03-19 06:37:51,True,False,True,1630
42.2932,-82.83944,2019-03-19 06:37:55,True,False,True,1630
42.2932,-82.83944,2019-03-19 06:37:56,True,False,True,1630
42.2931,-82.83579,2019-03-19 06:38:11,True,False,True,1630
42.29298,-82.83177,2019-03-19 06:38:26,True,False,True,1630
42.29269,-82.82982,2019-03-19 06:38:41,True,False,True,1630
42.29262,-82.82982,2019-03-19 06:38:41,True,False,True,1630
42.29198,-82.82948,2019-03-19 06:38:56,True,False,True,1630
42.29183,-82.82906,2019-03-19 06:39:11,True,False,True,1630
42.29187,-82.82906,2019-03-19 06:39:26,True,False,True,1630
42.29186,-82.82908,2019-03-19 06:39:41,True,False,True,1630
42.29191,-82.82904,2019-03-19 06:39:56,True,False,True,1630
42.29192,-82.82953,2019-03-19 06:40:14,True,False,True,1630
42.29188,-82.8294,2019-03-19 06:40:29,True,False,True,1630
42.29188,-82.82938,2019-03-19 06:40:44,True,False,True,1630
42.29188,-82.82937,2019-03-19 06:40:59,True,False,True,1630
42.29188,-82.82938,2019-03-19 06:41:14,True,False,True,1630
42.29188,-82.82939,2019-03-19 06:41:29,True,False,True,1630
42.29189,-82.8294,2019-03-19 06:41:44,True,False,True,1630
42.29188,-82.82941,2019-03-19 06:41:59,True,False,True,1630
42.29188,-82.82941,2019-03-19 06:42:14,True,False,True,1630
42.29188,-82.82941,2019-03-19 06:42:29,True,False,True,1630
42.29187,-82.82941,2019-03-19 06:42:44,True,False,True,1630
42.29187,-82.8294,2019-03-19 06:42:59,True,False,True,1630
42.29186,-82.82939,2019-03-19 06:43:14,True,False,True,1630
42.29187,-82.8294,2019-03-19 06:43:29,True,False,True,1630
42.29187,-82.82939,2019-03-19 06:43:44,True,False,True,1630
42.29187,-82.8294,2019-03-19 06:43:59,True,False,True,1630
42.29187,-82.82941,2019-03-19 06:44:14,True,False,True,1630
42.29187,-82.82941,2019-03-19 06:44:29,True,False,True,1630
42.29188,-82.82941,2019-03-19 06:44:44,True,False,True,1630
42.29189,-82.82942,2019-03-19 06:44:59,True,False,True,1630
42.29189,-82.82941,2019-03-19 06:45:14,True,False,True,1630
42.29188,-82.8294,2019-03-19 06:45:29,True,False,True,1630
42.29187,-82.82941,2019-03-19 06:45:44,True,False,True,1630
42.29187,-82.82942,2019-03-19 06:45:59,True,False,True,1630
42.29188,-82.8294,2019-03-19 06:46:14,True,False,True,1630
42.29187,-82.8294,2019-03-19 06:46:29,True,False,True,1630
42.29187,-82.82941,2019-03-19 06:46:44,True,False,True,1630
42.29188,-82.82942,2019-03-19 06:46:59,True,False,True,1630
42.29189,-82.8294,2019-03-19 06:47:14,True,False,True,1630
42.29188,-82.82938,2019-03-19 06:47:29,True,False,True,1630
42.29187,-82.82938,2019-03-19 06:47:44,True,False,True,1630
42.29188,-82.82939,2019-03-19 06:47:59,True,False,True,1630
42.29188,-82.82938,2019-03-19 06:48:14,True,False,True,1630
42.29188,-82.82938,2019-03-19 06:48:29,True,False,True,1630
42.29187,-82.82938,2019-03-19 06:48:44,True,False,True,1630
42.29187,-82.82938,2019-03-19 06:48:59,True,False,True,1630
42.29187,-82.82938,2019-03-19 06:49:14,True,False,True,1630
42.29188,-82.82939,2019-03-19 06:49:29,True,False,True,1630
42.29188,-82.82939,2019-03-19 06:49:44,True,False,True,1630
42.29188,-82.82938,2019-03-19 06:49:59,True,False,True,1630
42.29188,-82.82938,2019-03-19 06:50:14,True,False,True,1630
42.29188,-82.82937,2019-03-19 06:50:29,True,False,True,1630
42.29188,-82.82938,2019-03-19 06:50:44,True,False,True,1630
42.29187,-82.82939,2019-03-19 06:50:59,True,False,True,1630
42.29186,-82.82939,2019-03-19 06:51:14,True,False,True,1630
42.29187,-82.82939,2019-03-19 06:51:29,True,False,True,1630
42.29187,-82.82938,2019-03-19 06:51:44,True,False,True,1630
42.29188,-82.82939,2019-03-19 06:51:59,True,False,True,1630
42.2919,-82.8294,2019-03-19 06:52:14,True,False,True,1630
42.2919,-82.8294,2019-03-19 06:52:29,True,False,True,1630
42.29189,-82.82939,2019-03-19 06:52:44,True,False,True,1630
42.29189,-82.82939,2019-03-19 06:52:59,True,False,True,1630
42.29187,-82.82938,2019-03-19 06:53:14,True,False,True,1630
42.29187,-82.82938,2019-03-19 06:53:29,True,False,True,1630
